id,source,matching,destination,type,category,status,ignore
35,solo-cung-bolero/trong-nghia-bi-loai-sau-khi-gay-nao-loan-o-vong-so-tuyen-solo-cung-bolero-2015-c28a1617.html,exact,https://angelagold.com.vn/solo-cung-bolero.html,301,,active,
36,solo-cung-bolero/xuat-hien-doi-thu-cua-my-tam-muon-lam-vo-cua-dam-vinh-hung-c28a1632.html,exact,https://angelagold.com.vn/solo-cung-bolero.html,301,,active,
37,suc-khoe-sinh-ly-nu/-c44a.html,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu-c44.html,301,,active,
38,suc-khoe-sinh-ly-nu/kho-am-dao-c44a1888.html<br/>,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu-c44.html,301,,active,
39,suc-khoe-sinh-ly-nu/tien-man-kinh-c44a1930.html<br/>,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu-c44.html,301,,active,
40,thay-loi-muon-noi.html,exact,https://angelagold.com.vn/thay-loi-muon-noi-c34.html,301,,active,
41,thay-loi-muon-noi/-c42a.html,exact,https://angelagold.com.vn/thay-loi-muon-noi-c34.html,301,,active,
42,tim-kie/14.html,exact,https://angelagold.com.vn,301,,active,
43,tim-kie/455.html,exact,https://angelagold.com.vn,301,,active,
44,tim-kie/7.html,exact,https://angelagold.com.vn,301,,active,
45,tin-tuc/-9.html,exact,https://angelagold.com.vn,301,,active,
46,tin-tuc/ha-hoa-cho-phai-dep-c11a1560.,exact,https://angelagold.com.vn,301,,active,
47,tin-tuc/mat-na-cho-da-khong-deu-mau-c11a1712.htm',exact,https://angelagold.com.vn,301,,active,
48,"tin-tuc/nhung-thoi-quen-co-the-gay-vo-sinh-o-phu-nu-c11a1055.html,",exact,https://angelagold.com.vn,301,,active,
49,tin-tuc/thieu-hut-noi-tiet-nu-cang-bo-sung-cang-thieu-c11a1545.htm,exact,https://angelagold.com.vn,301,,active,
50,video-noi-bat/-c41a.html,exact,https://angelagold.com.vn/video-c25.html,301,,active,
51,www.aliexpress,exact,https://angelagold.com.vn,301,,active,
52,chuyen-gia-tu-van/cach-dieu-tri-da-tay-bi-nhan-va-kho-hieu-qua-nhat-a3894.html,exact,https://angelagold.com.vn/chuyen-gia-tu-van.html,301,,active,
53,suc-khoe-sinh-ly-nu/yeu-sinh-ly-nu-nguyen-nhan-dau-hie.html,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu/yeu-sinh-ly-nu-nguyen-nhan-dau-hieu-va-cach-khac-phuc-c44a1988.html,301,,active,
54,sac-dep/-bi-kip-.html,exact,https://angelagold.com.vn/blog-phai-dep.html,301,,active,
55,sac-dep/bao-ve-.html,exact,https://angelagold.com.vn/blog-phai-dep.html,301,,active,
56,sac-dep/luu-giu-tuoi-xuan-cho-da-va-toc-voi-.html,exact,https://angelagold.com.vn/blog-phai-dep.html,301,,active,
57,sinh-ly-nu/10-cach-huu-hieu-thap-lai-.html,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu-c44.html,301,,active,
58,sinh-ly-nu/tuoi-trung-nien-nguoi-dam-me-do-dau.html,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu-c44.html,301,,active,
59,suc-khoe---sinh-ly-nu.html,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu-c44.html,301,,active,
60,suc-khoe/phu-nu-nen-kham-sang-loc-ung-thu-co-tu-cung-3-5-nam.html,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu-c44.html,301,,active,
61,suc-khoe/suc-khoe-va-nhan-sac-phai-dep-.html,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu-c44.html,301,,active,
62,tim-kie/21.html,exact,https://angelagold.com.vn,301,,active,
63,tim-kie/28.html,exact,https://angelagold.com.vn,301,,active,
64,tin-tuc/ban-da-biet-cham-soc-buong-.html,exact,https://angelagold.com.vn,301,,active,
65,amp/liveshow-dau-an-bao-yen-c27.html,exact,https://angelagold.com.vn,301,,active,
66,cham-soc-da.html,exact,https://angelagold.com.vn/cham-soc-da-c45.html,301,,active,
67,vi.html,exact,https://angelagold.com.vn,301,,active,
68,suc-khoe-sinh-ly-nu/tram-cam-sau-sinh-nguyen-nhan-dau-hieu-va-cach-dieu-tri--c44a2090.html,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu/tram-cam-sau-sinh-nguyen-nhan-dau-hieu-va-cach-dieu-tri-c44a2090.html,301,,active,
69,cham-soc-da/cham-soc-ngay-hom-nay-de-tet-nay-da-cang-sang-khi-sac-rang-ngoi-c45a2049.html,exact,https://angelagold.com.vn/cham-soc-ngay-hom-nay-de-tet-nay-da-cang-sang-khi-sac-rang-ngoi-c45a2049.html,301,,active,
70,cham-soc-da/sam-angela-gold-bi-kip-vang-giup-phu-nu-tang-suc-de-khang-trong-mua-dich-corona-c45a2058.html/,exact,https://angelagold.com.vn/cham-soc-da/sam-angela-gold-bi-kip-vang-giup-phu-nu-tang-suc-de-khang-trong-mua-dich-corona-c45a2058.html,301,,active,
71,suc-khoe-sinh-ly-nu/benh-lanh-cam-phu-nu-c44a1941.html/,exact,https://angelagold.com.vn/suc-khoe-sinh-ly-nu/benh-lanh-cam-phu-nu-c44a1941.html,301,,active,
